rnum,docid,hot,thank,gift,contr,views,yviews,article,patient1,ypatient,period,treat,once
4013,http://songyijun.haodf.com/,4.5,74,394,81675,9904554,6017,27,7102,0,6,1,0
4014,http://yaolipingl.haodf.com/,5,383,1545,112960,4216363,4694,9,8148,3,6,1,0
4015,http://chenzhongdr.haodf.com/,4.8,80,892,33600,959065,919,8,2151,2,6,1,0
4016,http://huangjianlin.haodf.com/,4.8,282,1593,177880,7473358,5231,214,6704,4,6,1,0
4017,http://shenlingxun.haodf.com/,4.8,262,1628,65480,3861024,4147,11,5988,2,6,1,0
4018,http://linjiangtao.haodf.com/,4.7,97,79,18970,2737313,2124,117,3199,0,6,1,0
4019,http://zhoufude.haodf.com/,4.9,417,1716,186510,26038282,16317,38,14994,8,6,1,0
4020,http://zhouyandr.haodf.com/,4.7,125,857,66735,2459164,3398,44,5449,1,6,1,0
4021,http://lihuaiping.haodf.com/,4.8,264,1518,269250,11369337,4623,12,13920,2,6,1,0
4022,http://lishijundr.haodf.com/,4.7,152,835,115766,6642536,5478,5,6049,0,6,1,0
4023,http://jishuming.haodf.com/,4.7,119,641,84983,6089568,5449,13,6516,0,6,1,0
4024,http://don2003000.haodf.com/,5,228,1368,222076,16908473,13758,26,13584,1,6,1,0
4025,http://sunbingzhong.haodf.com/,4.6,211,744,70710,4943298,4346,3,3935,0,6,1,0
4026,http://wenliping.haodf.com/,5,292,703,116373,8305672,4838,49,8020,1,6,1,0
4027,http://wangzixipumch.haodf.com/,4.7,91,168,25300,1972455,1745,5,4463,3,6,1,0
4028,http://xuweihuashan.haodf.com/,5,820,1057,124565,6086215,8606,9,13339,2,6,1,0
4029,http://wisdomqin.haodf.com/,4.9,481,1871,241197,15753592,14743,24,17760,2,6,1,0
4030,http://jiehu68.haodf.com/,4.8,710,1174,92035,8002017,6542,31,10708,4,6,1,0
4031,http://xubinhuashan.haodf.com/,4.7,334,1376,212685,10405581,7514,48,10986,0,6,1,0
4032,http://guohongchuan.haodf.com/,4.6,380,259,71321,4830302,4041,24,6743,0,6,1,0
4033,http://dianyuanli.haodf.com/,4.8,575,2389,239500,8630621,7804,54,13520,1,6,1,0
4034,http://xiubinyang.haodf.com/,5,361,1850,189324,8853482,6834,86,11280,6,6,1,0
4035,http://liuyanguo.haodf.com/,4.6,194,367,41862,3188028,2686,31,3441,0,6,1,0
4036,http://HuangJinfengDoct.haodf.com/,4.5,218,151,78865,3972204,3558,117,3986,0,6,1,0
4037,http://wuxiaoli.haodf.com/,4.6,211,653,106558,17287041,11270,31,12598,1,6,1,0
4038,http://zhixiangcheng.haodf.com/,4.7,320,2018,398100,16401329,12348,1,19096,0,6,1,0
4039,http://wuyijun.haodf.com/,4.9,143,1158,53714,3616639,3307,33,6063,0,6,1,0
