,docid,hot,thank,gift,contr,views,article,patient1,period,treat
1,http://zhaochob.haodf.com/,5,248,2048,116926,5377269,86,4560,1,0
2,http://lizhuyi.haodf.com/,4.7,131,393,74764,3944239,9,4413,1,0
3,http://bmusunnyw.haodf.com/,4.7,175,243,29820,3294468,5,3661,1,0
4,http://wangshuang2013.haodf.com/,4.7,75,991,44300,867849,22,1272,1,0
5,http://yuanyun1.haodf.com/,4.6,220,1099,151506,10260128,107,7144,1,0
6,http://bjdlct.haodf.com/,4.4,52,377,33205,786573,11,1819,1,0
7,http://luzhq.haodf.com/,4.2,22,243,51852,4633811,85,4044,1,0
8,http://majinghong.haodf.com/,4.1,18,71,15520,942739,6,1650,1,0
9,http://xiaopingwang.haodf.com/,4.1,37,216,65630,7590616,64,7422,1,0
10,http://liliuyi.haodf.com/,4,9,43,11258,987893,79,1070,1,0
11,http://tbd1999ht.haodf.com/,4.7,107,1108,126370,2951768,7,10425,1,0
12,http://yaoshukun.haodf.com/,4.5,73,167,56515,6659709,10,5663,1,0
13,http://yuj123.haodf.com/,4.5,93,476,166183,14353154,424,11661,1,0
14,http://yuli1995.haodf.com/,4.4,109,408,98397,7695651,11,8370,1,0
15,http://sunweihao.haodf.com/,5,37,120,36255,5244185,14,4870,1,0
16,http://tanhua2010.haodf.com/,3.8,20,56,32211,2848293,22,1952,1,0
17,http://drsun.haodf.com/,4.7,65,222,52181,4427788,37,4891,1,0
18,http://shuwang999.haodf.com/,4.4,186,2066,180157,13879058,11,6000,1,0
19,http://xcxhs.haodf.com/,4.2,18,233,30698,705760,9,2693,1,0
20,http://jianghongwei.haodf.com/,3.8,4,39,14662,1939912,159,915,1,0
21,http://litianwang.haodf.com/,4.9,189,772,68640,1613036,25,3806,1,0
22,http://drguoqiang.haodf.com/,4.5,70,219,34511,2517497,37,3221,1,0
23,http://dengwm1974.haodf.com/,4.3,46,294,73225,2091049,27,3418,1,0
24,http://drl3608.haodf.com/,4.8,68,63,5685,547048,0,528,1,0
25,http://wxp13.haodf.com/,4.4,87,607,70115,1336269,76,4787,1,0
26,http://guqihua.haodf.com/,4,21,171,50978,4611807,6,3213,1,0
27,http://wenjiqiu75.haodf.com/,4.9,215,1818,71440,3354576,31,5013,1,0
28,http://liuhongbao.haodf.com/,4.7,69,616,43711,482807,1,2029,1,0
29,http://zhangpengkidney.haodf.com/,4.7,85,780,40350,1451999,9,3026,1,0
30,http://drhongyantong.haodf.com/,4.9,75,516,45285,2183670,42,3100,1,0
31,http://laiyueyun.haodf.com/,4.7,57,196,27675,1990668,0,2514,1,0
32,http://heguangsheng.haodf.com/,4.5,105,892,276803,16770622,77,12267,1,0
33,http://zhengyini.haodf.com/,4.4,48,1335,118505,2160764,19,6787,1,0
34,http://Fangqing123.haodf.com/,4.3,152,1599,186660,27663053,2480,7180,1,0
35,http://guankai.haodf.com/,4.8,295,438,86952,10826054,9,10151,1,0
37,http://duanyuyun.haodf.com/,4.2,12,67,8300,161970,3,627,1,0
38,http://houyongqiang120.haodf.com/,3.9,5,82,76830,1896047,0,4568,1,0
39,http://jiaoliqun.haodf.com/,4.4,242,1629,153625,9626306,14,8341,1,0
40,http://liangjiantao.haodf.com/,4.3,165,111,22052,1929799,23,2433,1,0
41,http://edward0061.haodf.com/,4.3,52,84,34695,1896211,16,3964,1,0
42,http://lianweipumch.haodf.com/,4.1,485,2835,338124,17394907,106,15718,1,0
43,http://hexiaosheng.haodf.com/,4.1,41,336,60935,8016461,1361,3365,1,0
44,http://heyuandong.haodf.com/,4,21,112,15900,254760,16,844,1,0
45,http://lyd0622.haodf.com/,3.7,2,15,19290,744986,0,2359,1,0
46,http://fangtiedr.haodf.com/,5,295,696,105190,3885026,63,9826,1,0
47,http://sunchengyan.haodf.com/,4.7,134,202,68192,6995092,895,5354,1,0
48,http://drjianglijun.haodf.com/,4.9,190,757,41645,753289,3,1572,1,0
49,http://jiangsl301.haodf.com/,4.7,126,210,15375,519054,14,1292,1,0
50,http://dryanjun.haodf.com/,4.6,234,558,58875,2127482,3,4061,1,0
51,http://xieyq.haodf.com/,4.5,206,214,19694,1277552,6,1776,1,0
52,http://lxdong.haodf.com/,4.4,274,1537,187685,9927413,41,9619,1,0
53,http://yannzhchina.haodf.com/,4.5,55,186,9630,277617,2,799,1,0
54,http://chenjimei.haodf.com/,4.5,177,1084,120800,5517257,26,6659,1,0
55,http://FWHDC.haodf.com/,4.4,202,2321,106578,8380425,69,6219,1,0
56,http://lianfeng.haodf.com/,3.8,51,212,67361,5386680,136,4147,1,0
57,http://drchinkenkon.haodf.com/,5,345,1293,54805,3996707,5,6647,1,0
58,http://tjzhanglei.haodf.com/,4.7,172,130,14615,568353,13,1610,1,0
59,http://liuchunjun.haodf.com/,4.7,445,702,79340,4436314,42,5934,1,0
60,http://xiefenghe.haodf.com/,4.7,119,227,47178,1477874,10,4282,1,0
61,http://wangbin6666.haodf.com/,4.8,158,805,110803,3361307,30,5408,1,0
62,http://zhangyuguang18.haodf.com/,4.5,129,813,136725,2660381,22,6538,1,0
63,http://litianshi.haodf.com/,4.3,195,1310,256394,10892389,60,11230,1,0
64,http://yingfoun.haodf.com/,4.4,54,280,49465,1921215,18,4008,1,0
65,http://cc88.haodf.com/,4.2,46,216,80216,6215613,69,6365,1,0
66,http://taoran129.haodf.com/,4.2,40,49,31900,1226753,7,2668,1,0
67,http://earthquake.haodf.com/,3.9,12,53,34330,2057513,14,3286,1,0
68,http://sq049.haodf.com/,3.4,3,28,18100,1712270,68,1843,1,0
69,http://qiliqiang.haodf.com/,5,346,2617,160230,5508771,24,10926,1,0
70,http://wugaosong.haodf.com/,4.6,166,1041,63945,4434244,34,7209,1,0
71,http://duzhenggui.haodf.com/,4.6,106,984,41890,675103,4,2880,1,0
72,http://gsfx2005.haodf.com/,4.5,255,1129,129404,8983313,29,9112,1,0
73,http://drchenhongliang.haodf.com/,4.5,102,496,42530,941946,1,3310,1,0
74,http://liuchunping.haodf.com/,4.4,125,462,41985,2554979,1,3831,1,0
